"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Billions of dollars are sent to the State of California for Forest fires that, with proper Forest Management, would… https://t.co/l5Jyjb8lEs",FALSE,44784,NA,2019-01-09 15:25:43,TRUE,NA,"1083022011574747137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10972,FALSE,FALSE,NA,NA
"2","Our Country is doing so well in so many ways. Great jobs numbers, with a record setting December. We are rebuilding… https://t.co/LWGj8t2N8L",FALSE,75912,NA,2019-01-09 14:06:09,TRUE,NA,"1083001986331672580",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17232,FALSE,FALSE,NA,NA
"3","Thank you for soooo many nice comments regarding my Oval Office speech. A very interesting experience!",FALSE,179340,NA,2019-01-09 04:33:59,FALSE,NA,"1082857997032919040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",28236,FALSE,FALSE,NA,NA
"4","https://t.co/Ft6FqQmYfI",FALSE,126206,NA,2019-01-09 02:16:29,FALSE,NA,"1082823394234716160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",34190,FALSE,FALSE,NA,NA
"5","Congratulations to a truly great football team, the Clemson Tigers, on an incredible win last night against a power… https://t.co/1KtCS9qdVU",FALSE,124120,NA,2019-01-08 14:42:39,TRUE,NA,"1082648785312976896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19595,FALSE,FALSE,NA,NA
"6","Talks with China are going very well!",FALSE,117324,NA,2019-01-08 13:16:09,FALSE,NA,"1082627015235256321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18801,FALSE,FALSE,NA,NA
"7","“The President is the biggest and best supporter of the Steel Industry in many years. We are now doing really well.… https://t.co/9daGoY2lSy",FALSE,94223,NA,2019-01-08 13:13:06,TRUE,NA,"1082626249984491520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21057,FALSE,FALSE,NA,NA
"8","Economic numbers looking REALLY good. Can you imagine if I had long term ZERO interest rates to play with like the… https://t.co/2rGF18wzy0",FALSE,115253,NA,2019-01-08 13:01:15,TRUE,NA,"1082623264877432837",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24296,FALSE,FALSE,NA,NA
"9","Endless Wars, especially those which are fought out of judgement mistakes that were made many years ago, &amp; those wh… https://t.co/xib1biZeBG",FALSE,143745,NA,2019-01-08 03:50:29,TRUE,NA,"1082484663216730113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",31783,FALSE,FALSE,NA,NA
"10","I am pleased to inform you that I will Address the Nation on the Humanitarian and National Security crisis on our S… https://t.co/hm3hcItIR3",FALSE,190471,NA,2019-01-07 18:44:41,TRUE,NA,"1082347305699889157",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",45616,FALSE,FALSE,NA,NA
